Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_57_938.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_005.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_072.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_137.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_205.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_272.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_338.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_404.jpg;0;0;0;0;99.75695;85.70805;0.0002379461;65.78586;-8.313597E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_472.jpg;-1.542646;0;0;0;99.75695;85.70805;0.0002378807;65.60075;1.937686E-07
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_538.jpg;-4.535143;0;0;0;99.75695;85.70807;0.0002361496;64.96445;2.98983E-06
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_606.jpg;-7.54128;0;0;0;99.75695;85.70807;0.0002346705;63.33576;9.438438E-06
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_672.jpg;-10.53733;0;0;0;99.75695;85.70807;0.0002339391;61.52888;1.550182E-05
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_738.jpg;-13.53533;0;0;0;99.75695;85.70807;0.0002323244;59.27267;2.277318E-05
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_805.jpg;-15;0;0;0;99.75695;85.70807;0.0002310635;55.67271;3.266282E-05
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_872.jpg;-15;0;0;0;99.75695;85.70807;0.0002288555;52.97271;3.797497E-05
/Users/megnathramesh/Dev/RoboND-Rover-Project/data/IMG/robocam_2017_12_05_17_09_58_937.jpg;-13.51037;0;0;0;99.75695;85.70807;0.0002290032;50.36211;4.157959E-05
